id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI
499,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
507,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
519,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,,
525,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
635,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
644,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,,
464,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",3,Cobertura vegetal y suelos,1,9,Mares y oceanos,,Zonas humedas,1,,
492,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
542,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
567,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
620,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
633,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
637,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1820,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1572,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1592,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1679,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1740,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1888,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
495,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,,
541,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
610,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,,
744,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
752,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
754,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
781,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
790,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1525,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1676,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1743,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1753,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
