"NOMBRE_HUM"	"MUCVA_C_ES"	"MUCVA_T_ES"	"SIOSE_C_ES"	"SIOSE_T_ES"	"n"
"229"	"Salar de los Canos"	"18"	"Cultivos herbaceos"	"23"	"Areas con fuertes procesos erosivos"	6
"230"	"Salar de los Canos"	"19"	"Areas agrarias heterogeneas"	"1"	"Tejido urbano"	2
"231"	"Salar de los Canos"	"20"	"Vegetacion natural"	"1"	"Tejido urbano"	17
"232"	"Salar de los Canos"	"20"	"Vegetacion natural"	"3"	"Infraestructuras de comunicaciones"	6
"233"	"Salar de los Canos"	"20"	"Vegetacion natural"	"14"	"Lenoso secano"	1
"234"	"Salar de los Canos"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	13
"235"	"Salar de los Canos"	"20"	"Vegetacion natural"	"22"	"Playas, dunas y arenales"	2
"236"	"Salar de los Canos"	"20"	"Vegetacion natural"	"23"	"Areas con fuertes procesos erosivos"	2
"237"	"Salar de los Canos"	"21"	"Vegetacion con eucaliptos"	"20"	"Vegetacion natural"	1
"238"	"Salar de los Canos"	"21"	"Vegetacion con eucaliptos"	"23"	"Areas con fuertes procesos erosivos"	1
"239"	"Salar de los Canos"	"24"	"Zonas en construccion"	"3"	"Infraestructuras de comunicaciones"	1
"240"	"Salar de los Canos"	"24"	"Zonas en construccion"	"23"	"Areas con fuertes procesos erosivos"	2
"241"	"Salinas de Cabo de Gata"	"2"	"Zonas industriales y comerciales"	"1"	"Tejido urbano"	4
"242"	"Salinas de Cabo de Gata"	"8"	"Salinas"	"2"	"Zonas industriales y comerciales"	3
"243"	"Salinas de Cabo de Gata"	"8"	"Salinas"	"8"	"Salinas"	76
"244"	"Salinas de Cabo de Gata"	"9"	"Mares y oceanos"	"9"	"Mares y oceanos"	44
"245"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"3"	"Infraestructuras de comunicaciones"	1
"246"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"7"	"Marisma"	1
"247"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"11"	"Vegetacion riparia"	1
"248"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"13"	"Masas de agua artificial"	1
"249"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"17"	"Invernaderos"	6
"250"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"18"	"Cultivos herbaceos"	15
"251"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"20"	"Vegetacion natural"	13
"252"	"Salinas de Cabo de Gata"	"18"	"Cultivos herbaceos"	"23"	"Areas con fuertes procesos erosivos"	1
"253"	"Salinas de Cabo de Gata"	"19"	"Areas agrarias heterogeneas"	"20"	"Vegetacion natural"	5
"254"	"Salinas de Cabo de Gata"	"20"	"Vegetacion natural"	"3"	"Infraestructuras de comunicaciones"	2
"255"	"Salinas de Cabo de Gata"	"20"	"Vegetacion natural"	"7"	"Marisma"	52
"256"	"Salinas de Cabo de Gata"	"20"	"Vegetacion natural"	"8"	"Salinas"	11
