fid,pct_arbo,pct_mato,pct_herb,pct_suelo,pct_querc,pct_conif,pct_eu,pct_ofro,pct_culth,pct_cultl,pct_citri,pct_olivar,pct_vitis,pct_ofrut,pct_agua,pct_edif,pct_vial,pct_zverde,pct_zexver,os_cod_n4,os_des_n4,os_cod_n3,os_des_n3,os_cod_n2,os_des_n2,os_cod_n1,os_des_n1,cd_prov,Humedal,_N,_SIOSE,_COD_95,_Usos MUCV,_COD_NUEVO,USOS_CHERB,COD_CHERB,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha
1292119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,182,VÃ­a de comunicaciÃ³n no asfaltada,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611003,16,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Via de comunicacion no asfaltada,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Rambla Morales,IHA611003,1.685914
1200577,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,"Pastizal con claros (roca, suelo)",35,Pastizal,35,Pastizal,4,Forestal,4,IHA611007,76,"PASTIZAL CON CLAROS (ROCA, SUELO)","925","Pastizal con claros (roca, suelo)",20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,15.812209
970992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,10,0,168,Industria aislada,3002,Zonas industriales,12,Industrial,1,Artificial,4,IHA611005,14,ZONAS INDUSTRIALES Y COMERCIALES,"121",Industria aislada,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Canada de las Norias,IHA611005,9.894106
968196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,125,Complejo comercial y/o de ocio,3003,"Servicios, comercial y oficinas",11,Urbano mixto,1,Artificial,4,IHA611018,13,ZONAS INDUSTRIALES Y COMERCIALES,"111",Complejo comercial y/o de ocio,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Salar de los Canos,IHA611018,1.791184
954055,0,55,15,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,997,Otros cultivos leÃ±osos,3011,Frutales no cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,4,IHA611007,58,OTROS CULTIVOS LEÑOSOS EN REGADIO,"997",Otros cultivos leñosos,15,,,Leñoso regadio,Agrario,4,3,Albufera Honda,IHA611007,0.290710
977305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Albufera Honda,IHA611007,0.688519
996937,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,404,Invernadero de estructura itinerante o temporal,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611009,56,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura itinerante o temporal,17,,,Invernaderos,Agrario invernaderos,2,5,Salinas de Cabo de Gata,IHA611009,25.457400
1161335,0,35,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,Matorral disperso con pasto y roca o suelo,41,Matorral,41,Matorral,4,Forestal,4,IHA611004,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Laguna de la Gravera,IHA611002,45.594117
973668,0,35,20,40,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,221,Salinas tradicionales,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,39,SALINAS,"221",Salinas tradicionales,8,,,Salinas,Zonas humedas,3,1,Laguna de la Gravera,IHA611002,193.498474
920042,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,403,Invernadero de estructura permanente,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611005,55,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura permanente,17,,,Invernaderos,Agrario invernaderos,2,5,Canada de las Norias,IHA611005,226.766357
