fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,areaNAT_m2
409999,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,37425.409594999997353,39577.703266011085361,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,39577.703,Vegetacion natural,Cobertura vegetal y suelos,5,1,39577.703
410187,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,21413.172556199999235,2064872.362085783388466,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,2064872.362,Vegetacion natural,Cobertura vegetal y suelos,5,1,2064872.362
202606,611,MATORRAL DENSO ARBOLADO: QUERCINEAS DENSAS,624.920541827999955,61.156044728297275,97,MATORRAL DENSO ARBOLADO: QUERCINEAS DENSAS,NA,MATORRAL DENSO ARBOLADO: QUERCINEAS DENSAS,20,61.156,Vegetacion natural,Cobertura vegetal y suelos,5,1,61.156
349909,911,MATORRAL DENSO,5000.365538439999909,322939.131781351519749,72,MATORRAL DENSO,"911",Matorral denso,20,322939.132,Vegetacion natural,Cobertura vegetal y suelos,5,1,322939.132
349956,911,MATORRAL DENSO,2132.992467919999854,130104.070364032566431,72,MATORRAL DENSO,"911",Matorral denso,20,130104.070,Vegetacion natural,Cobertura vegetal y suelos,5,1,130104.070
349959,911,MATORRAL DENSO,2808.071823599999789,98942.452100934693590,72,MATORRAL DENSO,"911",Matorral denso,20,98942.452,Vegetacion natural,Cobertura vegetal y suelos,5,1,98942.452
349988,911,MATORRAL DENSO,1711.077026330000081,16279.895196426659822,72,MATORRAL DENSO,"911",Matorral denso,20,16279.895,Vegetacion natural,Cobertura vegetal y suelos,5,1,16279.895
350024,911,MATORRAL DENSO,2876.880819640000027,82701.163594013545662,72,MATORRAL DENSO,"911",Matorral denso,20,82701.164,Vegetacion natural,Cobertura vegetal y suelos,5,1,82701.164
380531,915,MATORRAL DISPERSO CON PASTIZAL,309.545238254000026,2620.028538944199681,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,2620.029,Vegetacion natural,Cobertura vegetal y suelos,5,1,2620.029
380668,915,MATORRAL DISPERSO CON PASTIZAL,2821.228247139999894,142241.437824986875057,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,142241.438,Vegetacion natural,Cobertura vegetal y suelos,5,1,142241.438
380785,915,MATORRAL DISPERSO CON PASTIZAL,1110.178302620000068,31984.345509405215125,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,31984.346,Vegetacion natural,Cobertura vegetal y suelos,5,1,31984.346
407734,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,2887.329267709999840,37.261251628398895,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,37.261,Vegetacion natural,Cobertura vegetal y suelos,5,1,37.261
407754,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,3602.592682760000116,167885.083037368778605,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,167885.083,Vegetacion natural,Cobertura vegetal y suelos,5,1,167885.083
407825,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,3465.834860320000189,395037.814724404364824,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,395037.815,Vegetacion natural,Cobertura vegetal y suelos,5,1,395037.815
33945,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,103013.071335000000545,385382.635854872874916,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,385382.636,Vegetacion riparia,Zonas humedas,3,1,385382.636
187886,520,FOR. ARBOL. DENSA: CONIFERAS,701.808933582999884,16726.651494111865759,60,FOR. ARBOL. DENSA: CONIFERAS,"520",Formacion arbolada: coniferas,20,16726.651,Vegetacion natural,Cobertura vegetal y suelos,5,1,16726.651
227784,625,MATORRAL DENSO ARBOLADO: CONIFERAS DISPERSAS,565.987144180999962,19344.704092882573605,63,MATORRAL DENSO ARBOLADO: CONIFERAS DISPERSAS,"625",Matorral denso arbolado: coniferas dispersas,20,19344.704,Vegetacion natural,Cobertura vegetal y suelos,5,1,19344.704
279845,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,867.352378501999965,26385.158027524128556,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,26385.158,Vegetacion natural,Cobertura vegetal y suelos,5,1,26385.158
279858,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,469.835497050000015,10274.440899185836315,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,10274.441,Vegetacion natural,Cobertura vegetal y suelos,5,1,10274.441
347066,911,MATORRAL DENSO,5955.733584769999652,74094.397730624303222,72,MATORRAL DENSO,"911",Matorral denso,20,74094.398,Vegetacion natural,Cobertura vegetal y suelos,5,1,74094.398
347101,911,MATORRAL DENSO,244.870270742000002,2419.794471543282270,72,MATORRAL DENSO,"911",Matorral denso,20,2419.794,Vegetacion natural,Cobertura vegetal y suelos,5,1,2419.794
347108,911,MATORRAL DENSO,132.243622869999996,1077.578683793544769,72,MATORRAL DENSO,"911",Matorral denso,20,1077.579,Vegetacion natural,Cobertura vegetal y suelos,5,1,1077.579
347154,911,MATORRAL DENSO,1977.864684829999760,121258.726443415507674,72,MATORRAL DENSO,"911",Matorral denso,20,121258.726,Vegetacion natural,Cobertura vegetal y suelos,5,1,121258.726
