id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,M_C_E_NAT,M_T_E_NAT,M_C_G_NAT,M_T_G_NAT,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI
2046,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2050,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2051,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2053,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y"
2056,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2058,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2068,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2070,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2073,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2077,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y"
2078,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2023,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,3,Infraestructuras de comunicaciones,1,Urbano e infraestructuras,5,3,Infraestructuras
2026,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2029,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2031,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
